	code	id	name	type	ct	clid	superid	vi
165	dm_hydrobrom_gg_pse_hcl	1059	dm_hydrobrom_gg_pse_hcl	rx	363363	166.0	109,44,37,218	423
166	ketamine_hydrochloride	1060	ketamine_hydrochloride	rx	40549	167.0	118	424
167	milnacipran_hydrochloride	1065	milnacipran_hydrochloride	rx	68064	168.0	121	426
168	sertraline_hydrochloride	1067	sertraline_hydrochloride	rx	3423662	169.0	131	428
169	ethinyl_estradiol;ethinyl_estradiol_levonorg	1076	ethinyl_estradiol;ethinyl_estradiol_levonorg	rx	203861	170.0	28	429
170	ciprofloxacin	1082	ciprofloxacin	rx	30203	171.0	176	431
171	lisdexamfetamine_dimesylate	1085	lisdexamfetamine_dimesylate	rx	628342	172.0	175	432
172	selenium_sulfide	1090	selenium_sulfide	rx	212381	173.0	193	435
173	danazol	1093	danazol	rx	7336	174.0	45	436
174	hydrocortisone_acetate_lidocaine_hydrochlori	1111	hydrocortisone_acetate_lidocaine_hydrochlori	rx	76629	175.0	125,112	444
175	metronidazole_benzoate	1112	metronidazole_benzoate	rx	5603	176.0		445
176	doxycycline_calcium	1116	doxycycline_calcium	rx	8245	177.0	219	447
177	fondaparinux_sodium	1124	fondaparinux_sodium	rx	53835	178.0	22	449
178	potassium_chloride	187	potassium_chloride	rx	2684545	179.0	73,122	451
179	potassium_nitrate_sodium_fluoride	1131	potassium_nitrate_sodium_fluoride	rx	73704	180.0	170,117	452
180	insulin_glargine__recombinant	1132	insulin_glargine__recombinant	rx	990817	181.0	156	453
181	bpm_hydrocod_bit_pse_hcl	1137	bpm_hydrocod_bit_pse_hcl	rx	61418	182.0	44	455
182	beclomethasone_dipropionate	1156	beclomethasone_dipropionate	rx	543967	183.0	166,27	460
183	minoxidil	1168	minoxidil	rx	46740	184.0	79,60	466
184	hydrocortisone_sodium_succinate	1184	hydrocortisone_sodium_succinate	rx	5076	185.0	27	471
185	glyburide__micronized	1190	glyburide__micronized	rx	39602	186.0	152	472
186	imiquimod	1198	imiquimod	rx	654010	187.0	60	475
187	multivitamin_and_minerals;nutriceutical	1199	multivitamin_and_minerals;nutriceutical	rx	7117	188.0	58	476
188	hydrochlorothiazide_metoprolol_tartrate	1200	hydrochlorothiazide_metoprolol_tartrate	rx	25609	189.0	42	477
189	urofollitropin	1209	urofollitropin	rx	11889	190.0	101	480
190	griseofulvin__microcrystalline	1420	griseofulvin__microcrystalline	rx	199453	191.0	206	482
191	lamotrigine	1214	lamotrigine	rx	644110	192.0	180	483
192	fluticasone_propionate_salmeterol_xinafoate	1219	fluticasone_propionate_salmeterol_xinafoate	rx	2522950	193.0	27	486
193	magnesium_sulfate_potassium_sulfate_sodium_s	1227	magnesium_sulfate_potassium_sulfate_sodium_s	rx	491930	194.0	72	490
194	isotretinoin	1228	isotretinoin	rx	311458	195.0	213	491
195	medical_food	1230	medical_food	rx	49471	196.0	169,0,177,58,118,180,122,185,71,126,13,15,189,131,84,21,139,199,97,31,36,38,210,42,107,124	493
196	miconazole_nitrate_petrolatum__white_zinc_ox	1243	miconazole_nitrate_petrolatum__white_zinc_ox	rx	45214	197.0	206	498
197	phendimetrazine_tartrate	1249	phendimetrazine_tartrate	rx	22571	198.0	175	500
198	hydrochlorothiazide_valsartan	1250	hydrochlorothiazide_valsartan	rx	907008	199.0	64	501
199	somatropin__e-coli_derived	1251	somatropin__e-coli_derived	rx	31748	200.0	3	502
200	asa_oxycodone_hcl_oxycodone_terephthalate	1268	asa_oxycodone_hcl_oxycodone_terephthalate	rx	46522	201.0	38	508
201	hexachlorophene	1272	hexachlorophene	rx	51208	202.0	172	510
202	rofecoxib	1274	rofecoxib	rx	586620	203.0	210	512
203	cream__multi_ingredient	1275	cream__multi_ingredient	rx	273347	204.0	170,15,56,61,112	513
204	exenatide	1439	exenatide	rx	250684	205.0	31	515
205	multivitamin_and_fluoride	1284	multivitamin_and_fluoride	rx	353249	206.0	133,30,117	517
206	cyanocobalamin	1286	cyanocobalamin	rx	340270	207.0	114	518
207	rimantadine_hydrochloride	1292	rimantadine_hydrochloride	rx	66488	208.0	0	519
208	vancomycin_hydrochloride	1302	vancomycin_hydrochloride	rx	93044	209.0	197	521
209	dicyclomine_hydrochloride	1310	dicyclomine_hydrochloride	rx	1203242	210.0	4,107	525
210	k_phos_na_phos__dibasic_na_phos__monobasic	1313	k_phos_na_phos__dibasic_na_phos__monobasic	rx	15643	211.0	49	526
211	mycophenolate_mofetil	1317	mycophenolate_mofetil	rx	93770	212.0	137	527
212	propafenone_hydrochloride	1321	propafenone_hydrochloride	rx	73995	213.0	106	529
213	hc_ace_pramoxine_hcl;pramoxine_hcl	1327	hc_ace_pramoxine_hcl;pramoxine_hcl	rx	11819	214.0	27,125	530
214	dofetilide	1330	dofetilide	rx	17504	215.0	106	532
215	nabumetone	809	nabumetone	rx	1234008	216.0	210	535
216	caffeine_ergotamine_tartrate	1348	caffeine_ergotamine_tartrate	rx	15501	217.0	123	539
217	multivitamin__minerals__iron__and_fluoride	1351	multivitamin__minerals__iron__and_fluoride	rx	7019	218.0	30	540
218	carbinoxamine_mal_dm_hydrobrom_phenyleph_hcl	1354	carbinoxamine_mal_dm_hydrobrom_phenyleph_hcl	rx	5169	219.0	37	542
219	indapamide	1365	indapamide	rx	117333	220.0	18	548
220	loratadine_pseudoephedrine_sulfate	1368	loratadine_pseudoephedrine_sulfate	rx	40008	221.0	48,218	550
221	omega-3_fatty_acids;prenatal_vitamins	1369	omega-3_fatty_acids;prenatal_vitamins	rx	20468	222.0	129	551
222	clorazepate_dipotassium	1372	clorazepate_dipotassium	rx	121866	223.0	84	552
223	papaverine_hydrochloride	3889	papaverine_hydrochloride	rx	9943	224.0	93	554
224	amlodipine_besylate	2566	amlodipine_besylate	rx	3447814	225.0	107	556
225	aspirin_butalbital_caffeine	1382	aspirin_butalbital_caffeine	rx	197302	226.0	75,71	558
226	vitamin_b_complex__iron__and_vitamin_c	1386	vitamin_b_complex__iron__and_vitamin_c	rx	160842	227.0	34,129,202,179,181,114	559
227	acetaminophen_hydrocodone_bitartrate	1401	acetaminophen_hydrocodone_bitartrate	rx	22664582	228.0	38	564
228	multivitamin__minerals__and_nutriceuticals	1404	multivitamin__minerals__and_nutriceuticals	rx	15841	229.0	25,55,173,126,177,34,189,202,122,179,30,21,49,114	566
229	cpm_phenyleph_hcl_pyril_mal	1407	cpm_phenyleph_hcl_pyril_mal	rx	78993	230.0	48,37,218	568
230	levalbuterol_tartrate	1408	levalbuterol_tartrate	rx	497486	231.0	218	569
231	fluocinolone_acetonide	1409	fluocinolone_acetonide	rx	575622	232.0	166,125	570
232	nizatidine	1415	nizatidine	rx	104893	233.0	124	572
233	dm_tan_dexchlorpheniramine_tan_pse_tan	1417	dm_tan_dexchlorpheniramine_tan_pse_tan	rx	65625	234.0	48,37	574
234	ethinyl_estradiol_etonogestrel	1419	ethinyl_estradiol_etonogestrel	rx	682479	235.0	209	575
235	telithromycin	1421	telithromycin	rx	473762	236.0	186	576
236	antiviral_combination	1430	antiviral_combination	rx	8375	237.0	0	580
237	disopyramide_phosphate	1432	disopyramide_phosphate	rx	9084	238.0	106	581
238	betamethasone_dipropionate	1440	betamethasone_dipropionate	rx	503314	239.0	125	586
239	ursodiol	1443	ursodiol	rx	121311	240.0	98	588
240	tizanidine_hydrochloride	1444	tizanidine_hydrochloride	rx	833543	241.0	15	589
241	entacapone	1445	entacapone	rx	15555	242.0	122	590
242	cefpodoxime_proxetil	231	cefpodoxime_proxetil	rx	174371	243.0	159	592
243	apap_dichloralphenazone_isometheptene_mucate	1453	apap_dichloralphenazone_isometheptene_mucate	rx	400651	244.0	218	593
244	leuprolide_acetate	1454	leuprolide_acetate	rx	114745	245.0	9	594
245	na_phos__dibasic_na_phos__monobasic	1459	na_phos__dibasic_na_phos__monobasic	rx	458734	246.0	72,154	597
246	thioridazine_hydrochloride	1463	thioridazine_hydrochloride	rx	7722	247.0	216	599
247	cpm_gg_hydrocod_bit_pse_hcl	1464	cpm_gg_hydrocod_bit_pse_hcl	rx	5194	248.0	37,44	600
248	midazolam_hydrochloride	1465	midazolam_hydrochloride	rx	7634	249.0	84	601
249	acetic_acid_hydrocortisone	1471	acetic_acid_hydrocortisone	rx	177027	250.0	166	602
250	bpm_dm_hydrobrom_pse_hcl	1472	bpm_dm_hydrobrom_pse_hcl	rx	910258	251.0	48,37,44	603
251	drospirenone_estradiol	1481	drospirenone_estradiol	rx	12422	252.0	209	608
252	sucralfate	1500	sucralfate	rx	745644	253.0	11	614
253	granisetron_hydrochloride	1502	granisetron_hydrochloride	rx	27851	254.0	132	616
254	cyclophosphamide	2656	cyclophosphamide	rx	14816	255.0	9	620
255	cetirizine_hydrochloride	1515	cetirizine_hydrochloride	rx	2259737	256.0	48	622
256	multivitamin__minerals__and_iron	1516	multivitamin__minerals__and_iron	rx	77486	257.0	25,126,13,177,129,189,202,179,181	623
257	meperidine_hcl_promethazine_hcl	1522	meperidine_hcl_promethazine_hcl	rx	300935	258.0	38	628
258	gel__multi_ingredient	1523	gel__multi_ingredient	rx	12117	259.0	170,88,77,86,60,165,122	629
259	triazolam	1537	triazolam	rx	332249	260.0	84	635
260	chlordiazepoxide_hcl_methscopolamine_nitrate	1551	chlordiazepoxide_hcl_methscopolamine_nitrate	rx	8723	261.0	4	639
261	atropine_sulfate_diphenoxylate_hydrochloride	1554	atropine_sulfate_diphenoxylate_hydrochloride	rx	1066245	262.0	119	641
262	l-methylfolate_vit_b12_vit_b2_vit_b6	4307	l-methylfolate_vit_b12_vit_b2_vit_b6	rx	12236	263.0	114	644
263	apap_caff_phenyltoloxamine_cit_salicylamide	1580	apap_caff_phenyltoloxamine_cit_salicylamide	rx	7177	264.0	71	649
264	bpm_dm_hydrobrom_gg_pse_hcl	1590	bpm_dm_hydrobrom_gg_pse_hcl	rx	21230	265.0	48,37	656
265	ethinyl_estradiol_ferrous_fum_norethindrone_	1592	ethinyl_estradiol_ferrous_fum_norethindrone_	rx	180874	266.0	28	658
266	leucovorin_calcium	1594	leucovorin_calcium	rx	27671	267.0	70,122	659
267	potassium_bicarbonate_potassium_chloride	2672	potassium_bicarbonate_potassium_chloride	rx	5357	268.0	73	665
268	testosterone__micronized	253	testosterone__micronized	rx	56151	269.0		667
269	acetaminophen_butalbital_caffeine	1623	acetaminophen_butalbital_caffeine	rx	1053982	270.0	75,71	670
270	omeprazole	3929	omeprazole	rx	4862982	271.0	11	672
271	estradiol_valerate	1633	estradiol_valerate	rx	14245	272.0	209	674
272	balsalazide_disodium	1636	balsalazide_disodium	rx	39908	273.0	11	676
273	iron_polysaccharide	1637	iron_polysaccharide	rx	6796	274.0	181	677
274	fluconazole	1651	fluconazole	rx	5692040	275.0	206	679
275	niacin_simvastatin	1666	niacin_simvastatin	rx	71637	276.0	185	689
276	calcium_acetate	1667	calcium_acetate	rx	61791	277.0	173	690
277	doxycycline	1668	doxycycline	rx	582102	278.0	67,219	691
278	amphotericin_b	1674	amphotericin_b	rx	6831	279.0	52,206	694
279	cefixime	1680	cefixime	rx	294145	280.0	159	695
280	interferon_beta-1b;sodium_chloride	1683	interferon_beta-1b;sodium_chloride	rx	7490	281.0	82	696
281	cyanocobalamin_folic_acid_iron_polysaccharid	5225	cyanocobalamin_folic_acid_iron_polysaccharid	rx	33888	282.0	181	698
282	carbetapentane_tan_phenyleph_tan_pyril_tan	1692	carbetapentane_tan_phenyleph_tan_pyril_tan	rx	104376	283.0	37,44	700
283	flunisolide	1720	flunisolide	rx	287153	284.0	166,27	705
284	fluocinonide	1726	fluocinonide	rx	1532060	285.0	125	708
285	influenza_virus_vaccine__inactivated	1732	influenza_virus_vaccine__inactivated	rx	50925	286.0	116	710
286	finasteride	1739	finasteride	rx	429293	287.0	122	712
287	prednisolone	1743	prednisolone	rx	805552	288.0	166,27	713
288	dihydrocodeine_bitartrate_phenyleph_hcl	3051	dihydrocodeine_bitartrate_phenyleph_hcl	rx	6025	289.0	38	715
289	prednicarbate	1766	prednicarbate	rx	58934	290.0	125	720
290	multivitamin_and_minerals	1770	multivitamin_and_minerals	rx	77756	291.0	25,173,126,13,34,129,189,202,60,179,181,70,114	722
291	hydrocod_bit_phenyleph_hcl_pyril_mal	1771	hydrocod_bit_phenyleph_hcl_pyril_mal	rx	86942	292.0	38,44	723
292	chlorophyllin_copper_complex__sodium_papain_	3159	chlorophyllin_copper_complex__sodium_papain_	rx	6230	293.0	145	724
293	nedocromil_sodium	1776	nedocromil_sodium	rx	38794	294.0	134,217	725
294	hydrocortisone_probutate	1783	hydrocortisone_probutate	rx	23445	295.0	125	727
295	dm_tan_diphenhydramine_tannate_phenyleph_tan	1789	dm_tan_diphenhydramine_tannate_phenyleph_tan	rx	7113	296.0	37	730
296	antipyrine_benzocaine_policosanol	1794	antipyrine_benzocaine_policosanol	rx	10430	297.0	210	733
297	thiothixene	1798	thiothixene	rx	8667	298.0	216	734
298	hyaluronate_sodium_povidone	1799	hyaluronate_sodium_povidone	rx	5476	299.0	122	735
299	acetazolamide	1808	acetazolamide	rx	197611	300.0	160	736
300	epinephrine_hydrochloride	1815	epinephrine_hydrochloride	rx	27344	301.0	16,218	738
301	sitagliptin_phosphate	1823	sitagliptin_phosphate	rx	508010	302.0	31	739
